Species_Code,Common_Name,Scientific_Name,Date,Bird_Count,lat,lng,subId,Notable_Normal,Year,Month,Day,Family_Name
limpki,Limpkin,Aramus guarauna,2021-07-30 17:25,2.0,27.2405033,-82.3148167,S92531338,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 15:55,3.0,26.8267833,-81.0475883,S92524968,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 15:14,1.0,26.0697361,-80.2770996,S92516252,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 14:02,1.0,26.409047,-80.167984,S92511324,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 12:05,1.0,27.5930482,-80.3967858,S92509587,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 11:18,1.0,28.5772006,-81.5865755,S92544638,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 10:20,1.0,26.0553344,-80.2613464,S92501624,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 10:13,1.0,28.5753263,-80.9966826,S92503276,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 09:33,1.0,28.6690476,-81.56128,S92529258,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 08:38,1.0,26.0713023,-81.6770386,S92502491,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 08:27,1.0,27.249277,-80.371925,S92540708,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 07:57,2.0,28.0591773,-82.3436049,S92498715,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 07:56,1.0,26.928268,-81.2550082,S92499782,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 07:50,5.0,28.09435,-82.709682,S92504027,1,2021,7,30,Aramidae
limpki,Limpkin,Aramus guarauna,2021-07-30 07:22,2.0,27.3253186,-82.4336821,S92514071,1,2021,7,30,Aramidae
