Species_Code,Common_Name,Scientific_Name,Date,Bird_Count,lat,lng,subId,Notable_Normal,Year,Month,Day,Family_Name,Notable
limpki,Limpkin,Aramus guarauna,2021-07-31 08:27,1.0,26.5052081,-80.1399958,S92543862,1,2021,7,31,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-31 08:26,1.0,26.294125,-81.48604870000001,S92540306,1,2021,7,31,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-31 07:55,4.0,28.8032791,-82.0169592,S92542528,1,2021,7,31,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-31 07:53,1.0,27.788137300000002,-82.6414776,S92543652,1,2021,7,31,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-31 07:50,4.0,25.776121,-80.2030056,S92561394,1,2021,7,31,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-31 07:37,1.0,27.6871553,-80.3977385,S92540098,1,2021,7,31,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-31 07:35,4.0,28.0620436,-81.88385009999999,S92551256,1,2021,7,31,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-31 07:25,6.0,26.9880989,-81.0793407,S92582116,1,2021,7,31,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-31 07:09,4.0,26.6496729,-81.68693359999999,S92539009,1,2021,7,31,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-31 06:58,1.0,29.5587838,-82.3245401,S92558512,1,2021,7,31,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-31 06:48,1.0,27.954033000000003,-81.7189479,S92539097,1,2021,7,31,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-31 06:46,4.0,29.686897,-81.4758325,S92544535,1,2021,7,31,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-31 06:39,1.0,28.6893446,-81.59953270000001,S92558021,1,2021,7,31,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-31 06:34,5.0,26.969169800000003,-81.11840649999999,S92582120,1,2021,7,31,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-31 06:19,7.0,26.729055,-80.86582750000001,S92578763,1,2021,7,31,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-31 06:03,2.0,28.733504999999997,-81.7406674,S92558755,1,2021,7,31,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 19:59,1.0,28.5201151,-81.2311285,S92525538,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 17:25,2.0,27.2405033,-82.31481670000001,S92531338,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 15:55,3.0,26.8267833,-81.04758829999999,S92524968,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 15:14,1.0,26.0697361,-80.2770996,S92516252,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 14:02,1.0,26.409046999999997,-80.16798399999999,S92511324,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 12:05,1.0,27.593048200000002,-80.3967858,S92509587,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 11:18,1.0,28.577200599999998,-81.5865755,S92544638,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 10:20,1.0,26.0553344,-80.26134640000001,S92501624,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 10:13,1.0,28.575326300000004,-80.99668259999999,S92503276,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 09:33,1.0,28.669047600000003,-81.56128000000001,S92529258,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 08:38,1.0,26.071302300000003,-81.67703859999999,S92502491,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 08:27,1.0,27.249277000000003,-80.371925,S92540708,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 07:57,2.0,28.059177299999998,-82.34360490000002,S92498715,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 07:56,1.0,26.928268,-81.2550082,S92499782,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 07:50,5.0,28.09435,-82.709682,S92504027,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 07:22,2.0,27.3253186,-82.4336821,S92514071,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 07:00,8.0,27.608256,-81.2639125,S92514645,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 06:58,2.0,27.6087151,-81.19079920000001,S92574776,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 06:53,1.0,26.294,-81.486,S92496598,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 06:27,1.0,27.172589000000002,-80.396088,S92492727,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-30 06:25,2.0,27.9123525,-81.1302567,S92500177,1,2021,7,30,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-29 20:45,1.0,27.3452256,-82.46520720000001,S92577599,1,2021,7,29,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-29 19:55,1.0,26.2949452,-81.4159482,S92482225,1,2021,7,29,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-29 19:04,5.0,26.7813214,-81.7547172,S92482330,1,2021,7,29,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-29 18:52,3.0,29.881803,-95.185903,S92485022,1,2021,7,29,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-29 16:15,1.0,28.844565600000003,-81.9554168,S92475923,1,2021,7,29,Aramidae,No
